Player_Id,Bowling_Skill,Overs,Wickets,Runs,Economy,Average,Maidens,4W,Best Figure
1,Right-arm medium,46,9,367,7.978260869565218,40.77777777777778,0,0,23-3
4,Right-arm offbreak,53,7,480,9.056603773584905,68.57142857142857,0,0,27-2
5,Right-arm offbreak,10,2,71,7.1,35.5,0,0,11-1
8,Right-arm medium,44,5,371,8.431818181818182,74.2,0,0,25-2
9,Right-arm fast-medium,299,50,2316,7.745819397993312,46.32,3,0,18-3
10,Legbreak googly,7,1,84,12.0,84.0,0,0,14-1
12,Right-arm medium-fast,32,7,246,7.6875,35.142857142857146,0,0,18-2
13,Right-arm fast-medium,4,1,41,10.25,41.0,0,0,41-1
14,Right-arm medium,421,76,3135,7.446555819477434,41.25,14,0,18-3
15,Left-arm fast-medium,338,86,2511,7.428994082840236,29.19767441860465,6,3,17-4
16,Slow left-arm orthodox,9,1,82,9.111111111111109,82.0,0,0,27-1
21,Right-arm offbreak,142,27,1029,7.246478873239437,38.111111111111114,2,0,0-2
22,Right-arm fast-medium,40,13,354,8.85,27.23076923076923,0,0,32-3
24,Right-arm offbreak,11,0,94,8.545454545454545,0.0,0,0,0-0
25,Right-arm medium,61,14,562,9.21311475409836,40.142857142857146,0,0,3-2
27,Slow left-arm orthodox,142,32,1044,7.352112676056337,32.625,0,2,29-4
29,Left-arm medium-fast,350,84,2653,7.58,31.58333333333333,10,0,13-3
31,Right-arm offbreak,190,39,1371,7.215789473684209,35.153846153846146,1,0,21-3
32,Right-arm fast-medium,299,87,2230,7.45819397993311,25.632183908045977,3,2,23-4
35,Slow left-arm orthodox,288,65,2166,7.520833333333332,33.323076923076925,1,3,12-4
37,Legbreak,8,1,80,10.0,80.0,0,0,22-1
38,Legbreak googly,203,60,1465,7.2167487684729075,24.41666666666667,1,1,22-4
39,Right-arm medium,259,53,1909,7.370656370656371,36.0188679245283,2,3,16-4
41,Right-arm offbreak,23,6,236,10.26086956521739,39.333333333333336,0,0,18-2
42,Right-arm offbreak,8,1,66,8.25,66.0,0,0,8-1
44,Slow left-arm orthodox,50,16,396,7.92,24.75,1,1,14-4
